InvoiceNo,InvoiceDate,FwdInvoiceRefNo,StockReceiptDate,UOM,QtyCases,QtyUnits,Rate,Amount,TaxableAmount
111,02-10-2022,,02-10-2022,12,710,0,130.51,92661.02,92661.02
112,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
113,02-10-2022,,02-10-2022,12,492,6,113.56,55928.75,55928.75
114,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
115,02-10-2022,,02-10-2022,12,700,0,113.56,79491.53,79491.53
116,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
117,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
118,02-10-2022,,02-10-2022,12,157,6,113.56,17884.8,17884.8
119,02-10-2022,,02-10-2022,12,710,0,113.56,80627.12,80627.12
120,02-10-2022,,02-10-2022,24,50,0,550.71,27535.71,27535.71
121,02-10-2022,,02-10-2022,12,540,0,113.56,61322.03,61322.03
122,02-10-2022,,02-10-2022,24,2,0,289.29,578.57,578.57
123,02-10-2022,,02-10-2022,30,100,0,428.57,42857.14,42857.14
124,02-10-2022,,02-10-2022,30,100,0,446.43,44642.86,44642.86
125,02-10-2022,,02-10-2022,24,150,0,289.29,43392.86,43392.86
126,02-10-2022,,02-10-2022,30,53,0,428.57,22714.29,22714.29
127,02-10-2022,,02-10-2022,24,40,0,275,11000,11000
128,02-10-2022,,02-10-2022,24,100,0,267.86,26785.71,26785.71
129,02-10-2022,,02-10-2022,30,147,0,428.57,63000,63000
130,02-10-2022,,02-10-2022,24,80,0,275,22000,22000
131,02-10-2022,,02-10-2022,30,140,0,428.57,60000,60000
132,02-10-2022,,02-10-2022,24,170,0,255.08,43364.41,43364.41
133,02-10-2022,,02-10-2022,30,5,0,348.21,1741.07,1741.07
134,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
135,02-10-2022,,02-10-2022,24,40,0,546.79,21871.43,21871.43
136,02-10-2022,,02-10-2022,30,10,0,330.36,3303.57,3303.57
137,02-10-2022,,02-10-2022,24,50,0,550.71,27535.71,27535.71
138,02-10-2022,,02-10-2022,30,300,0,351.43,105428.57,105428.57
139,02-10-2022,,02-10-2022,30,150,0,351.43,52714.29,52714.29
140,02-10-2022,,02-10-2022,30,100,0,351.43,35142.86,35142.86
141,02-10-2022,,02-10-2022,30,5,0,330.36,1651.79,1651.79
142,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
143,02-10-2022,,02-10-2022,24,130,0,129.29,16807.14,16807.14
144,02-10-2022,,02-10-2022,30,20,0,330.36,6607.14,6607.14
145,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
146,02-10-2022,,02-10-2022,24,100,0,136.43,13642.86,13642.86
147,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
148,02-10-2022,,02-10-2022,24,120,0,136.43,16371.43,16371.43
149,02-10-2022,,02-10-2022,12,5,0,930.36,4651.79,4651.79
150,02-10-2022,,02-10-2022,30,20,0,365.71,7314.29,7314.29
151,02-10-2022,,02-10-2022,30,190,0,365.71,69485.71,69485.71
152,02-10-2022,,02-10-2022,30,150,0,351.43,52714.29,52714.29
153,02-10-2022,,02-10-2022,30,280,0,351.43,98400,98400
154,02-10-2022,,02-10-2022,30,5,0,370.54,1852.68,1852.68
155,02-10-2022,,02-10-2022,30,20,0,370.54,7410.71,7410.71
156,02-10-2022,,02-10-2022,30,10,0,370.54,3705.36,3705.36
157,02-10-2022,,02-10-2022,12,7,0,765.18,5356.25,5356.25
158,02-10-2022,,02-10-2022,24,110,0,148.31,16313.56,16313.56
159,02-10-2022,,02-10-2022,24,60,0,148.31,8898.31,8898.31
160,02-10-2022,,02-10-2022,24,230,0,148.31,34110.17,34110.17
161,02-10-2022,,02-10-2022,24,200,0,148.31,29661.02,29661.02
162,02-10-2022,,02-10-2022,24,250,0,148.31,37076.27,37076.27
163,02-10-2022,,02-10-2022,24,72,0,148.31,10677.97,10677.97
164,02-10-2022,,02-10-2022,30,17,0,370.54,6299.11,6299.11
